page,gamertag,name,team,twitch,twitter,update_time
27,SStelluR,Braedon Boettcher,Cloud 9,SStelluR,TheStelluR,2021-12-30T16:40:56Z
27,Str8 SicK CS,Cory Sloss,G2 Esports,"",Str8SicK,2021-12-30T16:40:56Z
15,Stracticc,Stracticc,None,"","",2021-12-30T16:40:56Z
14,Strally EU,Strally EU,None,"","",2021-12-30T16:40:56Z
18,Stresss,Stresss,None,"","",2021-12-30T16:40:56Z
29,SuperCC Evades,CC,KC Pioneers,SuperCC_Evades,SuperCC_Evades,2021-12-30T16:40:56Z
20,Suppressecl,Suppressecl,None,"","",2021-12-30T16:40:56Z
30,Svspector,Ayden Hill,XSET,Suspectors,Svspector,2021-12-30T16:40:56Z
16,sX iSuperior,sX iSuperior,None,"","",2021-12-30T16:40:56Z
21,Syxnrgy,Tyler Smith,None,"",syxnrgy,2021-12-30T16:40:56Z
13,T2P Swish,Kyle,Oxygen Esports,"",NotCLGSwiSH,2021-12-30T16:40:56Z
7,TaLic,Shannon,None,TaLicHD,TaLiiic,2021-12-30T16:40:56Z
28,Tapping Buttons,Josbe Valadez,Pittsburgh Knights,"",JJosbe,2021-12-30T16:40:56Z
29,Taulek,Taulek,KC Pioneers,Taulek,Taulek_,2021-12-30T16:40:56Z
30,TchiK SD,Sebastien Darriet,Quadrant,tchikk,TchiKHCS,2021-12-30T16:40:56Z
22,Tenjin4460,Tenjin,None,"","",2021-12-30T16:40:56Z
27,The Eco Smith,Kevin Smith,Cloud 9,ecofps,KevinEcoSmith,2021-12-30T16:40:56Z
20,the gold sTarBR,the gold sTarBR,None,"","",2021-12-30T16:40:56Z
4,thee RoyBorg,Justin Brown,None,roy,theRoyBorg,2021-12-30T16:40:56Z
21,Thin,Thin,None,"","",2021-12-30T16:40:56Z
20,Thrrone,Thrrone,None,"","",2021-12-30T16:40:56Z
15,Thuruuu,Thuruuu,None,"",Thuruuu,2021-12-30T16:40:56Z
16,Tommi theKrogan,Tommi theKrogan,None,"","",2021-12-30T16:40:56Z
28,TriPPPeY,Joe Taylor,OpTic Gaming,TriPPPeY,TriPPPeY,2021-12-30T16:40:56Z
0,Tritn,James Bolling,None,"",Triton_JB,2021-12-30T16:40:56Z
19,TRlTN,TritoN ARG,None,"",TRlTN,2021-12-30T16:40:56Z
19,Tryant,Tryant,None,"","",2021-12-30T16:40:56Z
28,tuf0xy,Perry Kenyon,Natus Vincere,"",tuf0xy,2021-12-30T16:40:56Z
29,Tylenul,Alec,Spacestation Gaming,Tylenul,Tylenul,2021-12-30T16:40:56Z
15,UCSxGunfusion,UCSxGunfusion,None,"","",2021-12-30T16:40:56Z
20,uegjragn,uegjragn,None,"","",2021-12-30T16:40:56Z
11,UI CritiGod,UI CritiGod,None,"","",2021-12-30T16:40:56Z
11,UI Dualitat,UI Dualitat,None,"","",2021-12-30T16:40:56Z
9,US fafy,US fafy,None,"","",2021-12-30T16:40:56Z
9,US NoProAngel,US NoProAngel,None,"","",2021-12-30T16:40:56Z
9,US Shenarjor,US Shenarjor,None,"","",2021-12-30T16:40:56Z
9,US Tolkien HCS,US Tolkien HCS,None,"","",2021-12-30T16:40:56Z
9,v t3ct9,Nicola Rios,None,"",bS_vtec,2021-12-30T16:40:56Z
18,v4v Vulcan,v4v Vulcan,None,"","",2021-12-30T16:40:56Z
9,Valkyrie HCS,Cory Harmon,None,"",Valkyrie_HCS,2021-12-30T16:40:56Z
10,Vampted,Keegan Phelps,None,"",Vampt_,2021-12-30T16:40:56Z
18,vBlite,vBlite,None,"","",2021-12-30T16:40:56Z
13,Vetra,Vetra,None,"",Vetra_CL,2021-12-30T16:40:56Z
0,VexZeus,Conor Scally,None,vexzeus,VexZeus,2021-12-30T16:40:56Z
17,Viable Manatee,Viable Manatee,None,"","",2021-12-30T16:40:56Z
15,VIAMMI 45,VIAMMI 45,None,"","",2021-12-30T16:40:56Z
2,WANwerd,Bry,None,"",WANwerd_,2021-12-30T16:40:56Z
16,white ste 93,white ste 93,None,"","",2021-12-30T16:40:56Z
1,Who is KingNick,Nick,eUnited,kingnick__,KingNickNP,2021-12-30T16:40:56Z
18,Will Mannon,Will Mannon,None,"","",2021-12-30T16:40:56Z
25,WinterLand94646,WinterLand94646,None,"","",2021-12-30T16:40:56Z
10,WoGG HCS,Matt,None,"",WoGGHCS,2021-12-30T16:40:56Z
25,Wombat SH,Scott Higgins,None,WombatSH,Wombat_SH,2021-12-30T16:40:56Z
25,World Famous,Dane,None,"",Halo3WF,2021-12-30T16:40:56Z
13,WVS Censuree UK,James,None,"",Censuree_,2021-12-30T16:40:56Z
13,WVS DeZireTB UK,Dylan,None,"",DeZireTB,2021-12-30T16:40:56Z
14,X3rThoS,X3rThoS,None,"",X3rThoS,2021-12-30T16:40:56Z
13,Xrossfade,Xrossfade,None,"","",2021-12-30T16:40:56Z
21,XxCurlySniperxX,Adam Jackson,None,"",Adam_W_Jackson,2021-12-30T16:40:56Z
15,YapaDleZ 31,YapaDleZ 31,None,"","",2021-12-30T16:40:56Z
12,Zeldun,PG Zeldun,None,"","",2021-12-30T16:40:56Z
2,Zhuh,Zhuh,None,"",Zhuhlol,2021-12-30T16:40:56Z
18,Zoack,Zoack,None,"","",2021-12-30T16:40:56Z
28,ZOla x HunterZ,Justin Deese,OpTic Gaming,igoturpistola,iGotUrPistola,2021-12-30T16:40:56Z
22,zZarck,zZarck,None,"","",2021-12-30T16:40:56Z
