team,team_url,n_series,n_matches,n_tournaments,n_tournaments_w_series,update_time
AF,,5,,,2,2021-12-31T13:07:11Z
Aspyre Ent.,,5,,,2,2021-12-31T13:07:11Z
Clockwork,,5,,,2,2021-12-31T13:07:11Z
CS,,6,12,,2,2021-12-31T13:07:11Z
Darkman,,6,,,2,2021-12-31T13:07:11Z
DNL,,6,17,,2,2021-12-31T13:07:11Z
dT,,6,13,,2,2021-12-31T13:07:11Z
EXODOS,,4,8,,2,2021-12-31T13:07:11Z
Falling,,6,,,2,2021-12-31T13:07:11Z
Force,,6,,,2,2021-12-31T13:07:11Z
Golden Dawn,,6,,,2,2021-12-31T13:07:11Z
In Control,,3,6,,2,2021-12-31T13:07:11Z
Insane OnFire,,3,3,,2,2021-12-31T13:07:11Z
MR,,6,,,2,2021-12-31T13:07:11Z
Name,,6,,,2,2021-12-31T13:07:11Z
NM,,6,,,2,2021-12-31T13:07:11Z
OE,,6,,,2,2021-12-31T13:07:11Z
Ottawa Braves,,11,17,,2,2021-12-31T13:07:11Z
PENTA,,5,9,,2,2021-12-31T13:07:11Z
PK,,6,,,2,2021-12-31T13:07:11Z
RBL,,6,,,2,2021-12-31T13:07:11Z
REC,,6,10,,2,2021-12-31T13:07:11Z
SK,,6,,,2,2021-12-31T13:07:11Z
SoaR,,5,9,,2,2021-12-31T13:07:11Z
Sonyx Fracture,,2,4,,2,2021-12-31T13:07:11Z
SY,,4,8,,2,2021-12-31T13:07:11Z
TOX,,6,10,,2,2021-12-31T13:07:11Z
UNA Purple,,6,7,,2,2021-12-31T13:07:11Z
UNC Wilmington,,5,6,,2,2021-12-31T13:07:11Z
VCU Esports,,8,10,,2,2021-12-31T13:07:11Z
WaldoX,,9,,,2,2021-12-31T13:07:11Z
x5,,5,13,,2,2021-12-31T13:07:11Z
xL,,5,10,,2,2021-12-31T13:07:11Z
-M-,,2,,,1,2021-12-31T13:07:11Z
[R],,3,3,,1,2021-12-31T13:07:11Z
2 Washed Duos,,1,3,,1,2021-12-31T13:07:11Z
3D,,4,4,,1,2021-12-31T13:07:11Z
7,,1,,,1,2021-12-31T13:07:11Z
ACE,,3,12,,1,2021-12-31T13:07:11Z
AcidiaN,,3,3,,1,2021-12-31T13:07:11Z
Alex,,1,,,1,2021-12-31T13:07:11Z
Almost,,1,,,1,2021-12-31T13:07:11Z
Alpha Dog,,2,,,1,2021-12-31T13:07:11Z
Alpha Gaming,,1,,,1,2021-12-31T13:07:11Z
Anaheim,,3,,,1,2021-12-31T13:07:11Z
Answer,,1,,,1,2021-12-31T13:07:11Z
AR,,3,3,,1,2021-12-31T13:07:11Z
Arkansas State,,3,,,1,2021-12-31T13:07:11Z
Armor Of God,,1,,,1,2021-12-31T13:07:11Z
Astral,,3,3,,1,2021-12-31T13:07:11Z
Awareness,,1,2,,1,2021-12-31T13:07:11Z
Barbarians,,1,2,,1,2021-12-31T13:07:11Z
BBB,,3,,,1,2021-12-31T13:07:11Z
BC,,3,9,,1,2021-12-31T13:07:11Z
beGenius,,4,,,1,2021-12-31T13:07:11Z
BH3 Esport,,1,2,,1,2021-12-31T13:07:11Z
BL,,3,,,1,2021-12-31T13:07:11Z
Boys,,3,9,,1,2021-12-31T13:07:11Z
BSK,,3,11,,1,2021-12-31T13:07:11Z
BT,,3,,,1,2021-12-31T13:07:11Z
Burning Head,,1,,,1,2021-12-31T13:07:11Z
Bye Bye Noobs,,2,,,1,2021-12-31T13:07:11Z
Callidus⁠,,3,,,1,2021-12-31T13:07:11Z
Cancun,,1,2,,1,2021-12-31T13:07:11Z
Censored,,3,,,1,2021-12-31T13:07:11Z
CG Black,,3,,,1,2021-12-31T13:07:11Z
Chiefs,,3,10,,1,2021-12-31T13:07:11Z
Cintanegra Jaimes,,1,,,1,2021-12-31T13:07:11Z
CinteNegra,,2,,,1,2021-12-31T13:07:11Z
CinteNegra X,,1,,,1,2021-12-31T13:07:11Z
Citadel,,2,3,,1,2021-12-31T13:07:11Z
cL,,3,,,1,2021-12-31T13:07:11Z
Cloud,,6,,,1,2021-12-31T13:07:11Z
Club AguilaZzZz,,1,2,,1,2021-12-31T13:07:11Z
Converse,,2,,,1,2021-12-31T13:07:11Z
Corosi0n,,2,,,1,2021-12-31T13:07:11Z
CP,,2,7,,1,2021-12-31T13:07:11Z
Cpt ANarchy,,2,2,,1,2021-12-31T13:07:11Z
Demonz,,1,2,,1,2021-12-31T13:07:11Z
DIG,,2,,,1,2021-12-31T13:07:11Z
Djethek,,1,,,1,2021-12-31T13:07:11Z
E1,,4,4,,1,2021-12-31T13:07:11Z
EBN,,3,,,1,2021-12-31T13:07:11Z
EGIF,,3,,,1,2021-12-31T13:07:11Z
Epic Mexican,,1,2,,1,2021-12-31T13:07:11Z
ESG,,3,,,1,2021-12-31T13:07:11Z
Esports IPN,,3,6,,1,2021-12-31T13:07:11Z
eU,,3,11,,1,2021-12-31T13:07:11Z
ExG,,3,,,1,2021-12-31T13:07:11Z
Exiled Gaming,,5,,,1,2021-12-31T13:07:11Z
EXO,,1,,,1,2021-12-31T13:07:11Z
FA,,3,,,1,2021-12-31T13:07:11Z
Fable,,3,12,,1,2021-12-31T13:07:11Z
FactoR,,4,,,1,2021-12-31T13:07:11Z
FaZe,,3,10,,1,2021-12-31T13:07:11Z
FF,,3,,,1,2021-12-31T13:07:11Z
Finest,,1,2,,1,2021-12-31T13:07:11Z
Floz Gaming,,1,2,,1,2021-12-31T13:07:11Z
FOnzi,,1,,,1,2021-12-31T13:07:11Z
Forerunners,,2,5,,1,2021-12-31T13:07:11Z
FoSsik,,4,,,1,2021-12-31T13:07:11Z
FP1,,3,,,1,2021-12-31T13:07:11Z
FQ,,3,,,1,2021-12-31T13:07:11Z
Funky Punkys,,3,,,1,2021-12-31T13:07:11Z
G-SpOt,,3,,,1,2021-12-31T13:07:11Z
G2,,3,11,,1,2021-12-31T13:07:11Z
General,,1,,,1,2021-12-31T13:07:11Z
GG,,3,2,,1,2021-12-31T13:07:11Z
Gizmo,,1,,,1,2021-12-31T13:07:11Z
God Squad,,1,,,1,2021-12-31T13:07:11Z
Good Old Times,,1,2,,1,2021-12-31T13:07:11Z
Grand View,,3,,,1,2021-12-31T13:07:11Z
H1S,,3,3,,1,2021-12-31T13:07:11Z
Halo Homeboys,,1,2,,1,2021-12-31T13:07:11Z
HeadHunters,,1,2,,1,2021-12-31T13:07:11Z
Hell-IX,,2,4,,1,2021-12-31T13:07:11Z
Hexteck,,1,2,,1,2021-12-31T13:07:11Z
HighStakes,,1,3,,1,2021-12-31T13:07:11Z
HTC,,3,3,,1,2021-12-31T13:07:11Z
Hulk,,3,,,1,2021-12-31T13:07:11Z
Hydra Gaming Mx,,2,4,,1,2021-12-31T13:07:11Z
HyperBoom Esports,,1,,,1,2021-12-31T13:07:11Z
Hysteria,,4,,,1,2021-12-31T13:07:11Z
I'm going bald,,4,,,1,2021-12-31T13:07:11Z
iMA,,3,,,1,2021-12-31T13:07:11Z
IMPR,,2,,,1,2021-12-31T13:07:11Z
InC,,3,,,1,2021-12-31T13:07:11Z
Indy CC,,3,,,1,2021-12-31T13:07:11Z
Infine Carmesi,,2,,,1,2021-12-31T13:07:11Z
InfiniteTragedy,,1,2,,1,2021-12-31T13:07:11Z
Insanity,,3,7,,1,2021-12-31T13:07:11Z
IOF,,3,3,,1,2021-12-31T13:07:11Z
JL,,3,,,1,2021-12-31T13:07:11Z
Juniata College,,2,,,1,2021-12-31T13:07:11Z
Keiser Lakeland,,3,,,1,2021-12-31T13:07:11Z
KING,,3,,,1,2021-12-31T13:07:11Z
Krogana,,3,,,1,2021-12-31T13:07:11Z
LASO,,5,,,1,2021-12-31T13:07:11Z
LC,,2,6,,1,2021-12-31T13:07:11Z
LegitKillers,,1,2,,1,2021-12-31T13:07:11Z
LG,,2,6,,1,2021-12-31T13:07:11Z
Liberty Flames,,2,,,1,2021-12-31T13:07:11Z
Los maris,,3,6,,1,2021-12-31T13:07:11Z
LUX,,3,,,1,2021-12-31T13:07:11Z
LuxGaming,,3,,,1,2021-12-31T13:07:11Z
M202,,1,,,1,2021-12-31T13:07:11Z
Make The Switch,,3,6,,1,2021-12-31T13:07:11Z
Make2theshifts,,1,2,,1,2021-12-31T13:07:11Z
MB,,3,,,1,2021-12-31T13:07:11Z
memeMachines,,1,2,,1,2021-12-31T13:07:11Z
MenofHalo,,1,2,,1,2021-12-31T13:07:11Z
Mentality,,3,,,1,2021-12-31T13:07:11Z
Merciless,,2,,,1,2021-12-31T13:07:11Z
MF,,3,9,,1,2021-12-31T13:07:11Z
MFP,,1,2,,1,2021-12-31T13:07:11Z
Mississippi State,,3,,,1,2021-12-31T13:07:11Z
Molesitos Infine,,3,,,1,2021-12-31T13:07:11Z
MoneyMatches,,2,,,1,2021-12-31T13:07:11Z
MSG,,1,2,,1,2021-12-31T13:07:11Z
Myztro,,3,9,,1,2021-12-31T13:07:11Z
NARI,,1,2,,1,2021-12-31T13:07:11Z
NAVI,,3,12,,1,2021-12-31T13:07:11Z
NBL,,3,7,,1,2021-12-31T13:07:11Z
Neighbor,,2,,,1,2021-12-31T13:07:11Z
Neighbot,,1,,,1,2021-12-31T13:07:11Z
Nemesis,,3,,,1,2021-12-31T13:07:11Z
NICE,,3,,,1,2021-12-31T13:07:11Z
Nicu,,1,,,1,2021-12-31T13:07:11Z
Nighthawks,,6,,,1,2021-12-31T13:07:11Z
Ninja Fish,,3,,,1,2021-12-31T13:07:11Z
NRD,,3,,,1,2021-12-31T13:07:11Z
nTice eSports,,1,3,,1,2021-12-31T13:07:11Z
NUTT ALOT,,1,,,1,2021-12-31T13:07:11Z
O2,,3,9,,1,2021-12-31T13:07:11Z
OD,,3,6,,1,2021-12-31T13:07:11Z
OGRE1,,1,,,1,2021-12-31T13:07:11Z
One Direction,,1,2,,1,2021-12-31T13:07:11Z
OnSlaught Esports,,2,,,1,2021-12-31T13:07:11Z
OXG,,3,11,,1,2021-12-31T13:07:11Z
Paradox,,3,,,1,2021-12-31T13:07:11Z
PDT,,3,,,1,2021-12-31T13:07:11Z
Pg-13,,4,,,1,2021-12-31T13:07:11Z
Pistola,,4,,,1,2021-12-31T13:07:11Z
Play 4 Fun,,1,,,1,2021-12-31T13:07:11Z
Plumbers Inc,,1,2,,1,2021-12-31T13:07:11Z
PoBOEsports,,4,8,,1,2021-12-31T13:07:11Z
PsykoPaths Gaming,,4,13,,1,2021-12-31T13:07:11Z
PuLse,,2,,,1,2021-12-31T13:07:11Z
QR,,3,,,1,2021-12-31T13:07:11Z
QUAD,,3,9,,1,2021-12-31T13:07:11Z
Quasar,,1,,,1,2021-12-31T13:07:11Z
QuestionReality,,3,6,,1,2021-12-31T13:07:11Z
RandomCoDPlayer,,1,2,,1,2021-12-31T13:07:11Z
Rang,,3,,,1,2021-12-31T13:07:11Z
Ranked Gang,,1,2,,1,2021-12-31T13:07:11Z
Rapture Nyx,,4,,,1,2021-12-31T13:07:11Z
Reclamation,,6,,,1,2021-12-31T13:07:11Z
Rise of Tuna,,3,6,,1,2021-12-31T13:07:11Z
RM,,3,,,1,2021-12-31T13:07:11Z
Rotten,,1,2,,1,2021-12-31T13:07:11Z
Rowlf,,1,,,1,2021-12-31T13:07:11Z
RVN,,2,,,1,2021-12-31T13:07:11Z
San Diego State,,2,,,1,2021-12-31T13:07:11Z
SB,,3,,,1,2021-12-31T13:07:11Z
Scarlet Halo,,1,,,1,2021-12-31T13:07:11Z
scoobygang,,1,2,,1,2021-12-31T13:07:11Z
Shizz,,2,,,1,2021-12-31T13:07:11Z
Silverson,,1,,,1,2021-12-31T13:07:11Z
SilverSon,,2,,,1,2021-12-31T13:07:11Z
SKF,,3,9,,1,2021-12-31T13:07:11Z
SKYer,,2,,,1,2021-12-31T13:07:11Z
Smiley Gang,,1,2,,1,2021-12-31T13:07:11Z
Soviet,,4,,,1,2021-12-31T13:07:11Z
Spartans,,1,2,,1,2021-12-31T13:07:11Z
Spiders,,3,,,1,2021-12-31T13:07:11Z
SQ,,3,,,1,2021-12-31T13:07:11Z
SSG,,3,11,,1,2021-12-31T13:07:11Z
StrangePurple,,2,,,1,2021-12-31T13:07:11Z
Strongachu,,1,2,,1,2021-12-31T13:07:11Z
sTw,,3,,,1,2021-12-31T13:07:11Z
Supreme Royale,,1,2,,1,2021-12-31T13:07:11Z
T1,,1,2,,1,2021-12-31T13:07:11Z
TDH,,2,,,1,2021-12-31T13:07:11Z
Tea-Party Raiders,,1,,,1,2021-12-31T13:07:11Z
Tea N Crumpets,,4,,,1,2021-12-31T13:07:11Z
Team Clutch Case,,1,2,,1,2021-12-31T13:07:11Z
Team H2K,,1,,,1,2021-12-31T13:07:11Z
Team Urameshi,,1,,,1,2021-12-31T13:07:11Z
Temporary Pioneers,,4,3,,1,2021-12-31T13:07:11Z
The Doods,,3,,,1,2021-12-31T13:07:11Z
TimeliestBrute,,3,,,1,2021-12-31T13:07:11Z
TP,,3,8,,1,2021-12-31T13:07:11Z
TPshAnkey,,3,,,1,2021-12-31T13:07:11Z
TR,,2,4,,1,2021-12-31T13:07:11Z
TRDL,,3,,,1,2021-12-31T13:07:11Z
Trifecta,,3,,,1,2021-12-31T13:07:11Z
Trying,,3,7,,1,2021-12-31T13:07:11Z
Urbanity Esports,,2,,,1,2021-12-31T13:07:11Z
UTC Mocs,,2,,,1,2021-12-31T13:07:11Z
VerticalSplyce,,2,,,1,2021-12-31T13:07:11Z
Vexed,,3,9,,1,2021-12-31T13:07:11Z
ViNCO,,2,,,1,2021-12-31T13:07:11Z
Vitality,,2,,,1,2021-12-31T13:07:11Z
Warnation,,1,2,,1,2021-12-31T13:07:11Z
Wayne State Gold,,2,,,1,2021-12-31T13:07:11Z
Weezy,,1,,,1,2021-12-31T13:07:11Z
WFX,,3,,,1,2021-12-31T13:07:11Z
WG,,2,,,1,2021-12-31T13:07:11Z
Wise,,3,10,,1,2021-12-31T13:07:11Z
Wolves,,3,,,1,2021-12-31T13:07:11Z
WSC Gold,,2,,,1,2021-12-31T13:07:11Z
WSC Halo,,4,,,1,2021-12-31T13:07:11Z
YesWeAreNerds,,1,3,,1,2021-12-31T13:07:11Z
Zard,,3,3,,1,2021-12-31T13:07:11Z
